Bureau of Justice Statistics,,,,,,,,
Filename: mschpprts05at07.csv,,,,,,,,
"Appendix table 7. Number and proportion of all arrests following release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version: 9/24/2015,,,,,,,,
 ,,,,,,,,
"Appendix table 7. Number and proportion of all arrests following release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,,,
,,,Arrests following release,,,,,
,,,,,Within state ,,,
State of release,,Number of arrests following release,Total,,of release,,Outside state of release,
,All released prisoners,"1,173,000",100,%,91,%,9,%
Alaska,,"4,000",100,%,84.6,,15.4,
Arkansas,,"25,000",100,%,80.9,,19.1,
California,,"403,000",100,%,96.8,,3.2,
Colorado,,"26,000",100,%,89.2,,10.8,
Florida,,"110,000",100,%,89.8,,10.2,
Georgia,,"38,000",100,%,91.2,,8.8,
Hawaii,,"3,000",100,%,91.2,,8.8,
Iowa,,"9,000",100,%,78.3,,21.7,
Louisiana,,"33,000",100,%,88.5,,11.5,
Maryland,,"34,000",100,%,90.6,,9.4,
Michigan,,"23,000",100,%,88.6,,11.4,
Minnesota,,"15,000",100,%,86.6,,13.4,
Missouri,,"36,000",100,%,87.5,,12.5,
Nebraska,,"4,000",100,%,73,,27,
Nevada,,"15,000",100,%,74.5,,25.5,
New Jersey,,"33,000",100,%,83.3,,16.7,
New York,,"49,000",100,%,89.8,,10.2,
North Carolina,,"24,000",100,%,81.5,,18.5,
North Dakota,,"2,000",100,%,76.7,,23.3,
Ohio,,"41,000",100,%,89.6,,10.4,
Oklahoma,,"15,000",100,%,81.9,,18.1,
Oregon,,"17,000",100,%,87.2,,12.8,
Pennsylvania,,"21,000",100,%,88,,12,
South Carolina,,"31,000",100,%,88.4,,11.6,
South Dakota,,"4,000",100,%,80.2,,19.8,
Texas,,"80,000",100,%,91,,9,
Utah,,"9,000",100,%,89.4,,10.6,
Virginia,,"33,000",100,%,87.6,,12.4,
Washington,,"33,000",100,%,91.7,,8.3,
West Virginia,,"4,000",100,%,77.2,,22.8,
"Note: Prisoners were tracked for 5 years following release. Number of arrests was rounded to the nearest 1,000. See appendix table 8 for standard errors.",,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
