Bureau of Justice Statistics,,,,,,,,
Filename: mschpprts05at03.csv,,,,,,,,
"Appendix table 3. Number and proportion of all arrests prior to release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,,,
"Report title: Multistate Criminal History Patterns of Prisoners Released in 30 States, NCJ 248942",,,,,,,,
"Data Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
"Author:(s) Matthew R. Durose, Howard N. Snyder, Ph.D., and Alexia D. Cooper, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version: 9/24/2015,,,,,,,,
,,,,,,,,
"Appendix table 3. Number and proportion of all arrests prior to release that were within or outside the state of release, among prisoners released in 30 states in 2005",,,,,,,,
,,,,,,,,
,,,,,Arrests prior to release,,,
,,Number of arrests ,,,Within state ,,Outside state ,
State of release,,prior to release,Total,,of release,,of release,
,All released prisoners,"4,304,000",100,%,89.8,%,10.2,%
Alaska,,"14,000",100,%,79,,21,
Arkansas,,"78,000",100,%,82.3,,17.7,
California,,"1,508,000",100,%,94.5,,5.5,
Colorado,,"102,000",100,%,83.2,,16.8,
Florida,,"439,000",100,%,90.5,,9.5,
Georgia,,"132,000",100,%,89.3,,10.7,
Hawaii,,"16,000",100,%,92.5,,7.5,
Iowa,,"32,000",100,%,78.3,,21.7,
Louisiana,,"112,000",100,%,92.1,,7.9,
Maryland,,"126,000",100,%,92.2,,7.8,
Michigan,,"68,000",100,%,86.1,,13.9,
Minnesota,,"43,000",100,%,79,,21,
Missouri,,"124,000",100,%,86.3,,13.7,
Nebraska,,"10,000",100,%,73,,27,
Nevada,,"48,000",100,%,59.8,,40.2,
New Jersey,,"126,000",100,%,88.4,,11.6,
New York,,"199,000",100,%,91.1,,8.9,
North Carolina,,"74,000",100,%,81.8,,18.2,
North Dakota,,"6,000",100,%,69.8,,30.2,
Ohio,,"110,000",100,%,87.5,,12.5,
Oklahoma,,"47,000",100,%,78.3,,21.7,
Oregon,,"59,000",100,%,83.1,,16.9,
Pennsylvania,,"103,000",100,%,87,,13,
South Carolina,,"93,000",100,%,88.3,,11.7,
South Dakota,,"20,000",100,%,75.1,,24.9,
Texas,,"328,000",100,%,90.8,,9.2,
Utah,,"31,000",100,%,82.9,,17.1,
Virginia,,"127,000",100,%,85.3,,14.7,
Washington,,"116,000",100,%,86.2,,13.8,
West Virginia,,"13,000",100,%,82.1,,17.9,
"Note: Number of arrests was rounded to the nearest 1,000. See appendix table 4 for standard errors.  ",,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,
