Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510at12,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 11: Recidivism of prisoners released in 30 states in 2005, by prior arrest history, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 11: Recidivism of prisoners released in 30 states in 2005, by prior arrest history, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Prior arrest history and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,0.28,%,0.29,%,0.27,%,0.25,%,0.24,%,0.23,%
4 or fewer,,0.38,%,0.45,%,0.48,%,0.48,%,0.47,%,0.46,%
,Violent,0.6,,0.72,,0.78,,0.8,,0.8,,0.79,
,Property,0.83,,0.98,,1.05,,1.03,,1,,0.98,
,Drug,0.72,,0.82,,0.9,,0.9,,0.88,,0.86,
,Public order,1.17,,1.3,,1.33,,1.3,,1.27,,1.24,
5–9 ,,0.48,%,0.52,%,0.5,%,0.47,%,0.44,%,0.42,%
,Violent,1.02,,1.09,,1.07,,1.01,,0.96,,0.93,
,Property,0.95,,0.98,,0.91,,0.83,,0.77,,0.72,
,Drug,0.76,,0.86,,0.84,,0.79,,0.73,,0.7,
,Public order,1.24,,1.32,,1.31,,1.27,,1.22,,1.16,
10 or more,,0.5,%,0.48,%,0.42,%,0.38,%,0.35,%,0.32,%
,Violent,1.21,,1.17,,1,,0.93,,0.87,,0.75,
,Property,0.85,,0.8,,0.66,,0.59,,0.53,,0.5,
,Drug,0.9,,0.87,,0.77,,0.69,,0.63,,0.58,
,Public order,1.27,,1.28,,1.14,,1.02,,0.96,,0.92,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
