Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: rprts05p0510at09,,,,,,,,,,,,,,
"Appendix table 9. Standard errors for table 8: Recidivism of prisoners released in 30 states in 2005, by most serious commitment offense and time from release to first arrest",,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Appendix table 9. Standard errors for table 8: Recidivism of prisoners released in 30 states in 2005, by most serious commitment offense and time from release to first arrest",,,,,,,,,,,,,,
,,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Most serious commitment offense,,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,,0.28,%,0.29,%,0.27,%,0.25,%,0.24,%,0.23,%
Violent,,,0.56,%,0.6,%,0.58,%,0.55,%,0.52,%,0.5,%
,Homicide,,0.04,,0.05,,0.06,,0.06,,0.06,,0.06,
,,Murder,0.05,,0.06,,0.08,,0.08,,0.08,,0.08,
,,Nonnegligent manslaughter,0.12,,0.16,,0.18,,0.19,,0.19,,0.19,
,,Negligent manslaughter,0.06,,0.08,,0.09,,0.1,,0.1,,0.1,
,Rape/sexual assault,,1.19,,1.33,,1.37,,1.35,,1.33,,1.3,
,Robbery,,1.02,,1.07,,1.02,,0.96,,0.92,,0.85,
,Assault,,1.04,,1.09,,1.03,,0.96,,0.9,,0.84,
,Other,,2.25,,2.27,,2.12,,2.01,,1.94,,1.85,
Property,,,0.56,%,0.55,%,0.49,%,0.45,%,0.41,%,0.39,%
,Burglary,,0.87,,0.88,,0.8,,0.73,,0.68,,0.64,
,Larceny/motor vehicle theft,,1.06,,1.01,,0.89,,0.81,,0.75,,0.71,
,Fraud/forgery,,1.13,,1.15,,1.07,,0.98,,0.93,,0.87,
,Other,,1.63,,1.62,,1.44,,1.26,,1.13,,1.06,
Drug,,,0.51,%,0.53,%,0.5,%,0.46,%,0.43,%,0.41,%
,Possession,,1,,1.04,,0.97,,0.9,,0.82,,0.78,
,Trafficking,,0.78,,0.82,,0.77,,0.72,,0.68,,0.65,
,Other,,0.93,,0.97,,0.88,,0.8,,0.74,,0.68,
Public order,,,0.74,%,0.77,%,0.74,%,0.7,%,0.67,%,0.64,%
,Weapons,,1.92,,1.87,,1.66,,1.51,,1.43,,1.36,
,Driving under the influence,,1.07,,1.24,,1.38,,1.41,,1.39,,1.36,
,Other,,0.92,,0.98,,0.93,,0.87,,0.82,,0.76,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,
