Bureau of Justice Statistics,,,
Filename: rprts05p0510t09,,,
"Table 9. Recidivism of prisoners released in 30 states in 2005, by type of post-release arrest charge",,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
 ,,,
"Table 9. Recidivism of prisoners released in 30 states in 2005, by type of post-release arrest charge",,,
,,Percent of released prisoners ,
Post-release arrest charge,,arrested within 5 years of release,
,Any offense,76.6,%
Violent,,28.6,%
,Homicide,0.9,
,Rape/sexual assault,1.7,
,Robbery,5.5,
,Assault,23,
,Other,4,
Property ,,38.4,%
,Burglary,10.1,
,Larceny/motor vehicle theft,21.3,
,Fraud/forgery,11.9,
,Other,19.2,
Drug,,38.8,%
,Possession,26.8,
,Trafficking,13.1,
,Other,19.9,
Public order,,58,%
,Weapons,9.1,
,Driving under the influence,9.3,
,Probation/parole violation,25.3,
,Other*,39.9,
"Note: Prisoners were tracked for 5 years following release. Detail may not sum to total because a person may be arrested more than once and each arrest may involve more than one charge. When information on the arrest charge was missing in the criminal history records, the court disposition data were used to describe the charge. See appendix table 10 for standard errors.",,,
*Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
