Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510at13,,,,,,,,,,,,,
"Appendix table 13. Standard errors for table 12: Recidivism of prisoners released in 30 states in 2005, by sex of releasee, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 13. Standard errors for table 12: Recidivism of prisoners released in 30 states in 2005, by sex of releasee, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sex of releasee and most,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,0.28,%,0.29,%,0.27,%,0.25,%,0.24,%,0.23,%
Male,,0.31,%,0.32,%,0.3,%,0.28,%,0.26,%,0.25,%
,Violent,0.59,,0.63,,0.61,,0.58,,0.55,,0.52,
,Property,0.63,,0.62,,0.55,,0.5,,0.46,,0.44,
,Drug,0.57,,0.59,,0.55,,0.51,,0.48,,0.45,
,Public order,0.8,,0.83,,0.8,,0.75,,0.71,,0.68,
Female,,0.45,%,0.49,%,0.49,%,0.48,%,0.46,%,0.44,%
,Violent,1.13,,1.25,,1.28,,1.24,,1.21,,1.17,
,Property,0.79,,0.85,,0.84,,0.8,,0.76,,0.73,
,Drug,0.77,,0.83,,0.83,,0.8,,0.78,,0.75,
,Public order,1.2,,1.36,,1.42,,1.39,,1.34,,1.3,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
