Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510at16,,,,,,,,,,,,,
"Appendix table 16. Standard errors for table 15: Recidivism of prisoners released in 30 states in 2005, by race or Hispanic origin, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 16. Standard errors for table 15: Recidivism of prisoners released in 30 states in 2005, by race or Hispanic origin, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Race/Hispanic origin and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,0.28,%,0.29,%,0.27,%,0.25,%,0.24,%,0.23,%
White,,0.42,%,0.44,%,0.42,%,0.39,%,0.37,%,0.35,%
,Violent,0.85,,0.93,,0.92,,0.89,,0.86,,0.83,
,Property,0.75,,0.74,,0.67,,0.61,,0.57,,0.54,
,Drug,0.88,,0.93,,0.87,,0.81,,0.75,,0.71,
,Public order,0.9,,0.97,,0.98,,0.93,,0.89,,0.86,
Black/African American,,0.41,%,0.42,%,0.39,%,0.35,%,0.33,%,0.3,%
,Violent,0.8,,0.83,,0.77,,0.71,,0.66,,0.59,
,Property,0.89,,0.88,,0.78,,0.71,,0.63,,0.6,
,Drug,0.67,,0.69,,0.63,,0.57,,0.53,,0.49,
,Public order,1.2,,1.24,,1.16,,1.09,,1.02,,0.94,
Hispanic/Latino,,0.91,%,0.93,%,0.87,%,0.81,%,0.78,%,0.75,%
,Violent,1.69,,1.78,,1.73,,1.64,,1.58,,1.51,
,Property,1.88,,1.84,,1.6,,1.46,,1.41,,1.32,
,Drug,1.5,,1.57,,1.5,,1.4,,1.33,,1.3,
,Public order,2.68,,2.68,,2.53,,2.38,,2.29,,2.19,
Other,,1.77,%,1.97,%,1.85,%,1.71,%,1.62,%,1.57,%
,Violent,2.76,,3.41,,3.5,,3.37,,3.33,,3.21,
,Property,3.79,,3.58,,3.17,,2.56,,2.47,,2.43,
,Drug,2.98,,4.57,,4.47,,4.18,,3.4,,3.37,
,Public order,3.15,,3.45,,3.43,,3.3,,3.27,,3.27,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
