Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510t12,,,,,,,,,,,,,
"Table 12. Recidivism of prisoners released in 30 states in 2005, by sex of releasee, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 12. Recidivism of prisoners released in 30 states in 2005, by sex of releasee, most serious commitment offense, and time from release to first arrest ",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Sex of releasee and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,28.2,%,43.4,%,59.5,%,67.8,%,73,%,76.6,%
Male,,28.9,%,44.5,%,60.7,%,69,%,74.1,%,77.6,%
,Violent,25.2,,38.9,,54.4,,62.3,,67.9,,72,
,Property,35.1,,52.3,,68.6,,76.4,,80.9,,83.6,
,Drug,27.6,,43.6,,60.7,,69.4,,74.8,,78.4,
,Public order*,26.1,,40.8,,56.3,,65.4,,70.5,,74.2,
Female,,22.1,%,34.4,%,49.8,%,58.5,%,63.9,%,68.1,%
,Violent,19.8,,30.6,,44.2,,51.9,,56.9,,60.8,
,Property,23.8,,37.6,,54.3,,62.6,,68,,72.1,
,Drug,21.9,,33.3,,48.1,,57.6,,62.9,,67.3,
,Public order*,19.2,,31,,47.6,,56.1,,62.2,,66.5,
Note: Prisoners were tracked for 5 years following release. Inmates could have been in prison for more than one offense; the most serious one is reported in this table. Data on prisoner’s sex were known for 100% of cases. See appendix table 13 for standard errors.,,,,,,,,,,,,,
*Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
