Bureau of Justice Statistics,,,
Filename: rprts05p0510at05,,,
Appendix table 5. Standard errors for table 5: Characteristics of prisoners released in 30 states in 2005,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
,,,
Appendix table 5. Standard errors for table 5: Characteristics of prisoners released in 30 states in 2005,,,
Characteristic,,Percent,
Sex,,,
,Male,--,
,Female,--,
Race/Hispanic origin,,,
,White,0.28,%
,Black/African American,0.27,
,Hispanic/Latino,0.26,
,Other,0.09,
Age at release,,,
,24 or younger,0.22,%
,25–29,0.24,
,30–34,0.22,
,35–39,0.22,
,40 or older,0.28,
Most serious commitment offense ,,,
,Violent,0.26,%
,Property,0.28,
,Drug,0.28,
,Public order,0.18,
Number of prior arrests per released prisoner,,,
,2 or fewer,0.15,%
,3–4,0.18,
,5–9,0.27,
,10 or more,0.29,
,Mean number,0.06,
,Median number,0.05,
Number of prior convictions per released prisoner,,,
,Mean number,0.03,
,Median number,0.03,
-- Less than 0.005%.,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
