Bureau of Justice Statistics,,,,,,
Filename: rprts05p0510at02,,,,,,
"Appendix table 2. Standard errors for table 2: Population-adjusted percent of prisoners arrested for a new crime within 3 years following release in 12 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections",,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 04/22/14,,,,,,
,,,,,,
"Appendix table 2. Standard errors for table 2: Population-adjusted percent of prisoners arrested for a new crime within 3 years following release in 12 states in 1994 and 2005, by demographic characteristics and most serious commitment offense ",,,,,,
Characteristic,,1994,,,2005,
,All released prisoners,0.41,%,,0.35,%
Sex,,,,,,
,Male,0.43,%,,0.38,%
,Female,1.54,,,0.78,
Race/Hispanic origin,,,,,,
,White ,0.72,%,,0.6,%
,Black/African American,0.56,,,0.49,
,Hispanic/Latino,1.05,,,0.92,
,Other,4.66,,,2.7,
Age at release,,,,,,
,24 or younger,0.81,%,,0.73,%
,25–29,0.87,,,0.75,
,30–34,0.89,,,0.89,
,35–39,1.01,,,0.86,
,40 or older,1.08,,,0.66,
Most serious commitment offense,,,,,,
,Violent,0.69,%,,0.68,%
,Property,0.7,,,0.65,
,Drug,0.78,,,0.63,
,Public order,1.4,,,1,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 1994 and 2005 data collections.",,,,,,
