Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: rprts05p0510at17,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 16: Recidivism of prisoners released in 29 states in 2005, by most serious commitment offense and time from release to first arrest that led to recidivating event",,,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 16: Recidivism of prisoners released in 29 states in 2005, by most serious commitment offense and time from release to first arrest that led to recidivating event",,,,,,,,,,,,,,
,,,Cumulative percent of released prisoners who recidivated within—,,,,,,,,,,,
Recidivism measurement and most serious commitment offense,,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
Adjudication,,,0.23,%,0.27,%,0.3,%,0.31,%,0.3,%,0.3,%
,Violent,,0.4,,0.49,,0.57,,0.59,,0.6,,0.6,
,Property,,0.46,,0.54,,0.57,,0.57,,0.56,,0.55,
,Drug,,0.42,,0.5,,0.54,,0.55,,0.54,,0.53,
,Public order,,0.58,,0.68,,0.76,,0.78,,0.78,,0.77,
Conviction,,,0.21,%,0.26,%,0.29,%,0.3,%,0.31,%,0.3,%
,Violent,,0.37,,0.46,,0.55,,0.58,,0.6,,0.6,
,Property,,0.43,,0.52,,0.56,,0.57,,0.57,,0.56,
,Drug,,0.39,,0.47,,0.53,,0.55,,0.55,,0.54,
,Public order,,0.55,,0.67,,0.75,,0.78,,0.78,,0.78,
Incarceration,,,0.19,%,0.24,%,0.28,%,0.29,%,0.3,%,0.3,%
,Violent,,0.35,,0.43,,0.51,,0.55,,0.58,,0.59,
,Property,,0.39,,0.48,,0.54,,0.56,,0.57,,0.57,
,Drug,,0.33,,0.42,,0.5,,0.52,,0.54,,0.54,
,Public order,,0.49,,0.61,,0.71,,0.76,,0.78,,0.78,
Imprisonment,,,0.15,%,0.2,%,0.24,%,0.26,%,0.27,%,0.28,%
,Violent,,0.27,,0.34,,0.43,,0.47,,0.5,,0.53,
,Property,,0.33,,0.42,,0.48,,0.52,,0.54,,0.55,
,Drug,,0.25,,0.33,,0.42,,0.46,,0.48,,0.5,
,Public order,,0.38,,0.49,,0.62,,0.68,,0.71,,0.73,
Return to prison,,,0.3,%,0.33,%,0.34,%,0.33,%,0.33,%,0.33,%
,Violent,,0.62,,0.7,,0.71,,0.71,,0.7,,0.69,
,Property,,0.61,,0.65,,0.64,,0.62,,0.61,,0.6,
,Drug,,0.52,,0.6,,0.62,,0.62,,0.61,,0.61,
,Public order,,0.8,,0.91,,0.93,,0.91,,0.9,,0.89,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,,
