Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: rprts05p0510t11,,,,,,,,,,,,,
"Table 11. Recidivism of prisoners released in 30 states in 2005, by prior arrest history, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,,,,,,,,,,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 04/22/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 11. Recidivism of prisoners released in 30 states in 2005, by prior arrest history, most serious commitment offense, and time from release to first arrest",,,,,,,,,,,,,
,,Cumulative percent of released prisoners arrested within—,,,,,,,,,,,
Prior arrest history and most serious commitment offense,,6 months,,1 year,,2 years,,3 years,,4 years,,5 years,
,All released prisoners,28.2,%,43.4,%,59.5,%,67.8,%,73,%,76.6,%
4 or fewer,,15.5,%,26.4,%,40.7,%,50,%,56.3,%,60.8,%
,Violent,14.2,,23.8,,36.5,,45.3,,51.7,,56.3,
,Property,18.3,,31.4,,47.2,,57.4,,63.8,,67.9,
,Drug,14.8,,25.1,,40.8,,50.1,,56.4,,61.2,
,Public order*,15.9,,28.2,,41.4,,50.8,,56.2,,60.2,
5–9 ,,24.3,%,39.8,%,57.1,%,66.3,%,72,%,75.9,%
,Violent,23.9,,38,,55.8,,64.8,,70.4,,74.2,
,Property,28.5,,46.2,,63.1,,71.8,,76.9,,80.5,
,Drug,21.6,,37,,55.7,,65.5,,71.6,,75.5,
,Public order*,22.6,,36.5,,50.5,,59.9,,65.9,,70.5,
10 or more,,38.6,%,56.1,%,72.5,%,79.5,%,83.7,%,86.5,%
,Violent,38.1,,55.4,,71.7,,77.3,,81.7,,85.6,
,Property,42.3,,59.9,,76.2,,82.5,,86.2,,88.3,
,Drug,37,,55,,71.1,,78.8,,83.3,,86.2,
,Public order*,33.4,,49.5,,67.6,,76.2,,80.6,,83.5,
Note: Prisoners were tracked for 5 years following release. Inmates could have been in prison for more than one offense; the most serious one is reported in this table. Prior arrest history includes the number of times the prisoner was arrested prior to his or her date of release. See appendix table 12 for standard errors. ,,,,,,,,,,,,,
*Includes 0.8% of cases in which the prisoner’s most serious offense was unspecified.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,,,,,,,,,,,
