Bureau of Justice Statistics,,
Filename: rprts05p0510f05,,
"Figure 5.Recidivism of prisoners released in 30 states in 2005, by sex of releasee and time from release to first arrest",,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of release: 04/22/14,,
,,
"Figure 5.Recidivism of prisoners released in 30 states in 2005, by sex of releasee and time from release to first arrest",,
,,
,,
Time to rearrest (in months),Male,Female
0,0,0
1,8.14799,6.41024
2,12.5616,9.57291
3,17.1807,12.5421
4,21.4177,15.8823
5,25.5331,19.2059
6,28.9379,22.0746
7,32.3157,24.2293
8,35.2835,26.4212
9,37.8807,28.7815
10,40.2527,30.7078
11,42.3153,32.5618
12,44.4766,34.3635
13,46.4344,36.0798
14,48.2199,37.7124
15,49.8263,39.2875
16,51.39,40.4879
17,52.6911,41.7273
18,54.1302,43.1477
19,55.3211,44.3708
20,56.517,45.7184
21,57.6538,46.8134
22,58.665,47.8744
23,59.7122,48.9336
24,60.7099,49.8304
25,61.5392,50.7051
26,62.38,51.5028
27,63.2644,52.3305
28,64.0869,53.0779
29,64.8598,53.8696
30,65.4746,54.5286
31,66.1379,55.1505
32,66.77,55.9588
33,67.3455,56.5855
34,67.9023,57.2681
35,68.3937,57.96
36,68.9556,58.506
37,69.4303,59.0253
38,69.9837,59.6057
39,70.4349,59.9855
40,70.9302,60.3909
41,71.3216,60.8216
42,71.743,61.2379
43,72.1868,61.7049
44,72.6122,62.1325
45,72.9797,62.6946
46,73.4165,63.1399
47,73.7454,63.4873
48,74.1036,63.9122
49,74.4147,64.4012
50,74.6996,64.6735
51,75.013,65.0129
52,75.4036,65.4133
53,75.7486,65.7572
54,76.0144,66.1257
55,76.3245,66.4506
56,76.5908,66.8992
57,76.8778,67.1223
58,77.1001,67.4203
59,77.3601,67.7854
60,77.6113,68.093
Note: Prisoners were tracked for 5 years following release. Data on prisoner’s sex were known for 100% of cases.,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,
